"","No","date","jobtitle","company","city","state","job_summary"
"15","15","Thu, 09 Mar 2017 06:20:07 GMT","Data Reporting Analyst","Dovre Group","","","Â·

Help define and clarify reporting

requirements; propose, define, and develop appropriate solutions; and

provide feedback to the Data Analytics team

Â·

Perform quality reviews of developed

solutions and ensure proper user acceptance

Â·

Functional discussions and

analysis/identifying key performance indicators

Â·

Simple report development and maintenance

utilizing Crystal Report Writer

Â·

Train other non-core report writers in the

various tools at Client

Â·

Liaise with IT and other members of Data

team to help create efficiencies and ensure data integrity

Â·

Assist in prioritization of reporting

requests

Â·

Identify opportunities for self-service and

educate the business on self-service capabilities within SAP ECC

Â·

Perform quality review of new and existing

reporting solutions

Â·

Coordinate end user review and acceptance

of the developed solutions

Â·

Analyze reporting service requests and

define technical specifications for efficient development

Â·

SAP experience in these functional areas â

Finance, Procurement (ECC & Ariba), Plant Maintenance, HSE, and HR.
Offer
Dovre Group is an equal opportunity employer. We encourage applications from anyone meeting the requirements for this position."
"16","16","Thu, 09 Mar 2017 00:04:58 GMT","Data and Reporting Analyst","Magellan Health","Cheyenne","WY","Provides data collection, data management, data analysis and reporting, and decision management tool design and development. Responsible for interfacing with IT to ensure utilization and effective use of IT sponsored tools. Provide basic programming and technical skills to support data management and reporting requirements.
ESSENTIAL FUNCTIONS:Work with designated department to assess, define, and develop report deliverables to meet internal and customer requirements. Design appropriate data repository and reporting tools that will be used to organize, analyze, and report data. Query data bases to extract information needed to develop reports. Compile data and other information from multiple data sources.
Support the development of standard reports.
Interpret, analyze and provide recommendations regarding data accuracy and data collection needs and processes. Work with business unit(s) to identify opportunities to enhance existing and to develop new data information processes and tools. Continuously assess and improve data collection and reporting processes.
Coordinate or independently complete special projects. Assist staff members with more complex and detailed projects including root cause analyses, trended reporting and analyses which support continuous quality improvement leading to actionable information.
Participate and support staff training related to data collection and reporting.
Other duties as assigned.

General Job Information

Title Data and Reporting Analyst

Job Family Metrics_Analysis_GS

Country United States of America

FLSA Status United States of America (Exempt)

Recruiting Start Date 3/8/2017

Date Requisition Created 3/7/2017

Minimum Qualifications

Education Associates, BachelorsAssociates (Required), Bachelors

License and Certifications

Other Job Requirements

Responsibilities - Managed care experience preferred.- Database management strongly preferred., - Requires an Associates Degree in information systems, business administration, or analytics.- Requires strong expertise in MS Excel and relational database such as MS Access and other database management (MS SQL) and reporting tools. Ability to use reporting software such as Actuate, Cognos, Crystal reports, SAS, or other. Ability to query the company's data warehouse and/or department systems in response to data requests.

Competencies

Language(s)

Magellan Health Services is proud to be an Equal Opportunity Employer and a Tobacco-free workplace. EOE/M/F/Vet/Disabled"
"17","17","Thu, 16 Mar 2017 23:13:51 GMT","Data Scientist","HealthCare Partners","Everett","WA","At the Everett Clinic, our purpose is simple - do the right thing - for our patients and each other. The philosophy allows us to recruit the best talent and enjoy a reputation as one of the most innovative and high-quality healthcare providers in the country.

Some say we are a medical group, but we like to think we're a large family. Our team cares about our patients and each other. We offer the best in quality care, advanced technologies and quality facilities.
Overview:
Under general supervision, the Data Scientist works in the fields of population health, risk stratification, patient segmentation, and geospatial analysis. The Data Scientist is responsible for developing mathematical models, working prototypes, and visualizations. The role requires strong communication skills and the ability to constructively challenge ideas and methods while working together with talented, highly skilled team members. The primary function of this role is to engage with stakeholders to produce clear, compelling, actionable insights that influence clinical and operational decisions.
Schedule: Exempt 40 hours per week (1.0 FTE)
Essential Functions:
Descriptive statistical analysis, predictive modeling, supervised and unsupervised machine learning, feature engineering, geospatial analysis, data mining and cleansing. Transform complex datasets into pragmatic and actionable insights.

Maintain current analytics solutions.

Research new data sources, technologies, platforms, and techniques.

Assist with business intelligence delivery, troubleshooting data and information issues.

Performs other duties as assigned.

Qualifications
Education:
Bachelor of Science degree with five or more years of professional experience in Data Science roles; or Master of Science degree with two or more years of professional experience in Data Science roles.
Experience:
Minimum of two to five yearsâ experience in applied data science environment in healthcare or commercial field working on time-critical projects with multiple customer stakeholders and teammates.
Knowledge, Skills & Abilities:
Knowledge of computational statistics, preferred.

Knowledge of statistical programming and visualization techniques.

Experience solving real world problems using data mining techniques and applied statistical rigor.

Demonstrated proficiency with R (required) and SQL (preferred).

Strong analytical skills and the demonstrated ability to perform design and analysis of a project based on a given specification.

Ability to work independently, establish priorities and organize work to meet demands.

Ability to work well with other teammates, networking personnel, computer operators and clinical personnel.

Ability to think logically and communicate clearly both in writing and verbally.

Must be able to handle multiple tasks at one time.

Ability to function and contribute as a team player.

DaVita Medical Group manages and operates medical groups and affiliated physician networks in California, Nevada, New Mexico, Florida, Colorado and Washington in its pursuit to deliver excellent-quality health care in a dignified and compassionate manner. As of June 30, 2016 DaVita Medical Group (formerly HealthCare Partners) provided integrated care management for approximately 760,000 patients. DaVita Medical Groupâs leadership development initiatives and social responsibility efforts have been recognized by Fortune, Modern Healthcare, Newsweek and WorldBlu.

We are committed to bringing the benefits of coordinated care to our patients and to taking a leading role in the transformation of the national healthcare delivery system to assure quality, access, and affordable care for all.

If you're looking to make a difference with a large, financially stable, well-recognized medical group, DaVita Medical Group may be the employer for you.

Work Locations

WA-EVERETT - 98203

98203"
"18","18","Wed, 08 Mar 2017 00:01:33 GMT","Data and Reporting Analyst","Magellan Health","Madison","WI","TMG by Magellan Health is seeking a Data and Reporting Analyst. The Data and Reporting Analyst is responsible for supporting a wide range of departments and functional groups in designing, developing, managing and analyzing data capture and reporting capabilities, statistics and trends. This position is responsible for designing database applications and other alternative data tools to support efficient operational and data analytics needs. In addition, the position assists in end-user support of the Wisconsin IRIS Self-Directed Information Technology System (WISITS).
ESSENTIAL FUNCTIONS:Work with designated departments to assess, define, and develop report deliverables to meet internal and customer requirements. Design appropriate data repository and reporting tools that will be used to organize, analyze, and report data. Query databases to extract information needed to develop reports. Compile data and other information from multiple data sources.
Support the development of standard reports.
Interpret, analyze and provide recommendations regarding data accuracy and data collection needs and processes. Work with business unit(s) to identify opportunities to enhance existing and to develop new data information processes and tools. Continuously assess and improve data collection and reporting processes.
Coordinate or independently complete special projects. Assist staff members with more complex and detailed projects including root cause analyses, trended reporting and analyses which support continuous quality improvement leading to actionable information.
Participate and support staff training related to data collection and reporting.
Other duties as assigned.

General Job Information

Title Data and Reporting Analyst

Job Family Metrics_Analysis_GS

Country United States of America

FLSA Status United States of America (Exempt)

Recruiting Start Date 3/6/2017

Date Requisition Created 3/6/2017

Minimum Qualifications
Education BachelorsBachelors: Business Administration (Required), Bachelors: Computer and Information Science (Required), Bachelors: Information Technology (Required), Bachelors: Mathematics (Required)

License and Certifications

Other Job Requirements

Responsibilities - Managed care experience preferred.- Database management strongly preferred., - Requires strong expertise in MS Excel and relational database such as MS Access and other database management (MS SQL) and reporting tools. Ability to use reporting software such as Actuate, Cognos, Crystal reports, SAS, or other. Ability to query the company's data warehouse and/or department systems in response to data requests.

Competencies

Language(s)

Magellan Health Services is proud to be an Equal Opportunity Employer and a Tobacco-free workplace. EOE/M/F/Vet/Disabled"
"19","19","Sat, 18 Mar 2017 07:27:23 GMT","Undergraduate Internship Program - Data Scientist","Central Intelligence Agency","Washington","DC","Students serving as Data Scientist interns work side-by-side with other data scientists using advanced hardware and software to create and develop computational algorithms and statistical methods that find patterns and relationships in large volumes of data.

Through CIA's global mission, the agency has access to unique data sets that can be analyzed in one computational environment. Successful applicants will have keen technical insight, creativity, initiative, and a curious mind.

Interns generally are required to work either a combination of one semester and one summer internship or two 90-day summer internships. Co-Op Students work on an alternating semester or quarterly basis and are expected to spend a minimum of three semesters or four quarters (this can include a summer tour) on the job prior to graduation.

Offices of the CIA - Directorate of Digital Innovation

The Directorate of Digital Innovation (DDI) is at the forefront of defining the future of digital expertise within the CIA. DDI focuses on developing the workforce with cutting-edge skills, investing in IT infrastructure, and modernizing the way the Agency does business. DDI officers help accelerate the integration of innovative methods and tools to enhance the CIA's cyber and digital capabilities on a global scale and ultimately help safeguard our nation. Learn more about the Directorate of Digital Innovation
Life at CIA:
In addition to a comprehensive benefits package, the CIA offers exciting career opportunities and a dynamic environment. We're on the forefront of world-altering events - as they happen. So working here isn't just a job, it's a mindset and a lifestyle.
Minimum Qualifications:
Pursuing Bachelor's degree in any area

GPA of at least 3.0 on a 4.0 scale

Leadership abilities, initiative, creativity, integrity, technical excellence, and strong interpersonal and communication skills (verbal and written)

Ability to work independently and in a group

Experience with advanced statistical or computational programming and modern databases and distributed computing systems

Availability to work two 90-day tours prior to graduation

Attending school on a full-time basis before/following this internship
Desired Qualifications:
Interest or experience in data analytics, computer science, mathematics, statistics, economics, operations research, computational social science, quantitative finance, engineering or other data analysis fields

The following items must be attached to your on-line application (PDF format preferred):

Your resume.

A cover letter in which you specify your qualifications for one or more positions.

Unofficial transcripts for all degrees.

ALL POSITIONS REQUIRE RELOCATION TO THE WASHINGTON DC METROPOLITAN AREA.

All applicants must successfully complete a thorough medical and psychological exam, a polygraph interview, and an extensive background investigation. US citizenship is required.

To be considered suitable for Agency employment, applicants must generally not have used illegal drugs within the last twelve months. The issue of illegal drug use prior to twelve months ago is carefully evaluated during the medical and security processing.
Important Notice: Friends, family, individuals, or organizations may be interested to learn that you are an applicant for or an employee of the CIA. Their interest, however, may not be benign or in your best interest. You cannot control whom they would tell. We therefore ask you to exercise discretion and good judgment in disclosing your interest in a position with the Agency. You will receive further guidance on this topic as you proceed through your CIA employment processing.
To Apply:
Save the position(s) that interest you in the job cart. You can add up to four (4) positions. Job cart selections will only be retained during this site visit, so be sure to click âApply Nowâ before closing the browser window. After clicking ""Apply Now"" you will be taken to the application account creation page. The positions will appear in the cart once you have created an account. DO NOT submit multiple applications; this will only slow the review of your application and delay processing. Please read the Application Instructions carefully before you begin the online application process."
"20","20","Sat, 18 Feb 2017 10:45:07 GMT","Scientist","Facebook","Boston","MA","Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of usâand we're just getting started. Facebook is seeking a Visiting Scientist to join our Infrastructure team. Term length would be considered on a case-by-case basis. Contribute research that can be applied to Facebook Big Data Systems
Devise better big data analytics infrastructure systems As part of our dedication to the diversity of our workforce, Facebook is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion.

We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com or you may call us at 1+650-308-7837."
"21","21","Mon, 27 Feb 2017 23:20:06 GMT","SQL Data Analyst and Reporting Developer","Booz Allen Hamilton","Huntsville","AL","Job Number: R0001896

Booz Allen Hamilton has been at the forefront of strategy and technology for more than 100 years Today, the firm provides management and technology consulting and engineering services to leading Fortune 500 corporations, governments, and not-for-profits across the globe. Booz Allen partners with public and private sector clients to solve their most difficult challenges through a combination of consulting, analytics, mission operations, technology, systems delivery, cybersecurity, engineering and innovation expertise.

SQL Data Analyst and Reporting Developer
Key Role:

Design, evaluate, and implement SQLâbased database reporting and integration with outside systems to accommodate a variety of user needs. Design and configure enterprise reporting tools and services. Work with a software development team to develop reporting requirements. Analyze and determine informational needs and elements, data relationships and attributes, proposed manipulation, data flow and storage requirements, and data output and reporting capabilities of the user department. Test designed applications using database management software or general programming software. Install, implement, and support systems within the user base.

Basic Qualifications:

-5+ years of experience with database technologies, including SQL Server

-2+ years of experience with database reporting using SQL Reporting Services

-Experience with developing and deploying enterprise reports using a reporting tool, including Crystal Reports

-Experience with Microsoft Office

-Ability to demonstrate fluency with SQL, including developing and debugging Transactâ SQL scripts

-Ability to work closely with other organizations

-Ability to travel up to 10% of the time

-Ability to obtain a security clearance

-BA or BS degree or 5+ years of experience with performing database development and implementation in a large, enterprise environment

Additional Qualifications:

-Experience with SharePoint

-Experience in industrial security, including personnel security

-Possession of excellent oral and written communication skills

-Secret or Top Secret clearance

Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.

Integrating a full range of consulting capabilities, Booz Allen is the one firm that helps clients solve their toughest problems. by their side to help them achieve their missions. Booz Allen is committed to delivering results that endure.

We are proud of our diverse environment, EOE, M/F/Disability/Vet.

ESG1"
"22","22","Mon, 13 Mar 2017 06:24:10 GMT","Healthcare Data Analyst","KaarmaPro","Columbus","OH","Excellent opportunity for Data Analyst in Columbus. This is a full time permanent position.JOB DESCRIPTIONResponsible for analytic data needs of the business unit. Handle complex data projects and acts as a lead for other Data Analysts.Provide advanced analytical support for business operations in all or some of the following areas: claims, provider data, member data, clinical data, HEDIS, pharmacy, external reportingExtract, load, model, and reconcile large amounts of data across multiple system platforms and sourcesReview data to determine operational impacts and needed actions; elevate issues, trends, areas for improvement and opportunities to management.Develop reports and deliverables and make recommendations to managementModel data using MS Excel, Access, SQL, and/or other data ware house analytical toolsAssist management in driving business decisions based on dataEnsure compliance with federal and state deliverable reporting requirements by performing data quality audits and analysis.Assist with training and mentoring other Data Analysts.Assist with determining work load and related activities for other Data AnalystsEDUCATION/MINIMUM EXPERIENCE REQUIREDBachelorâs degree in related field or equivalent experience.6+ years of statistical analysis or data analysis experience in HealthcareAdvanced knowledge of Enterprise Reporting and Analysis tools, SQL, and Microsoft Office applications, including Excel and Access.Experience managing projects or heavy involvement in project implementation.If you are qualified, interested and available to start immediately please reply and attach your most current resume.NO THIRD PARTY CANDIDATES PLEASE.NO CANDIDATES REQUIRING VISA PLEASE.LOCAL CANDIDATES ONLY PLEASE.Job Type: Full-timeRequired education:Bachelor'sRequired experience:coding or ETL in Healthcare: 3 yearsstatistical analysis or data analysis in Healthcare: 6 yearsHEDIS data analysis: 3 years"
"23","23","Tue, 07 Mar 2017 07:31:10 GMT","data scientist, Human Resources � Seattle, WA","Starbucks","Seattle","WA","Now Brewing â data scientist #tobeapartner
From the beginning, Starbucks set out to be a different kind of company . One that not only celebrated coffee and its rich tradition, but that also brought a feeling of connection. We are known for developing and supporting partners who share this passion and are guided by their service to others.

âWe built the Starbucks brand first with our people, not with consumers. Because we believed the best way to meet and exceed the expectations of our customers was to hire and train great people,

we invested in employees.â
â 
Howard Schultz, CEO, Starbucks Coffee Company

As a Starbucks data scientist, you will . . .

This job contributes to Starbucks success by guiding business decisions through utilizing data analysis and consulting that results in predicting outcomes, understanding complex data relationships, and developing a quantitative return on investment. This position partners on a cross-functional team of data scientists, statisticians, and business analysts supporting strategic initiatives utilizing the latest in computing technologies and operating across customer transactions and data elements to unlock the opportunities to support our global business.
Leveraging your previous experience, we will enable you to:
Extracts data from various databases; performs exploratory data analysis, cleanses, massages, and aggregates data
Employs scaling & automation to data preparation techniques
Determines analytics approach to solve business problems; incorporates machine learning algorithms where appropriate
Connects insights to business decision making options and next steps testing or research opportunities
Understands business initiatives and serves as primary analytic resource in discussions with business partners to define business questions
Drives creation of final insights package and recommendations; leads presentation
Directs analytic component of implementation of insights into business processes and ensures appropriate testing takes place
Develops project proposals, gains stakeholder buy-in, and ensures timelines are met
Promotes and advocates value of advanced analytics to solve business problems within department Weâd love to hear from people with :
Minimum 3 Years within data analysis field or discipline
Education: MS+ with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ, Quantitative Social Science or similar discipline
Let us give you the opportunity to be part of something bigger than yourself. Itâs time for you to #beapartner. Apply today!

Starbucks is an equal opportunity employer of all qualified individuals, including minorities, women, veterans & individuals with disabilities. Starbucks will consider for employment qualified applicants with criminal histories in a manner consistent with all federal, state, and local ordinances"
"24","24","Wed, 08 Mar 2017 18:05:13 GMT","Data Officer","Johns Hopkins Health Care","Glen Burnie","MD","Johns Hopkins Health System employs more than 20,000 people annually. When joining the Johns Hopkins Health System, you became part of a diverse organization dedicated to its patients, their families, and the community we serve, as well as to our employees. Career opportunities are available in academic and community hospital settings, home care services, physician practices, international affiliate locations and in the health insurance industry. Great careers continually advance here.

Reports to the Chief Operating Officer and will be responsible for providing enterprise level vision and strategy for all data management activities, including determination of organizationâs current data quality and maturity level, establishing enterprise standards, coordination of data assets across the organization, defining and governing the next generation of enterprise-level data, and analytics strategy. This position will also be responsible for organizing and implementing policies, procedures, and standards for data access, integration, maintenance, governance, dissemination and analysis, as well as enforcement of security and privacy requirements. A Bachelorâs Degree in Information Sciences, Quantitative Social Sciences or other quantitative filed is required. An advanced degree in quantitative/data sciences or MBA is preferred.

A minimum of 12 to 15 years of experience in information management and/or analysis, with a minimum of 5 years in a leadership capacity supervising others. Preferably in a Health plan or HealthCare environment. Must have developed and managed an Enterprise Data Strategy and roadmaps that reflect enterprise strategic priorities, marketplace needs, value added vendor partnerships and alliance opportunities. Prior experience with implementation of Data Governance and Data Quality Programs Previous experience with preparation of business cases for large technical projects.

Must have familiarity with data modelling and visualization techniques. #LI-AH1 Johns Hopkins Health System and its affiliates are an Equal Opportunity / Affirmative Action employers. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity and expression, age, national origin, mental or physical disability, genetic information, veteran status, or any other status protected by federal, state, or local law. Johns Hopkins Health System and its affiliates are drug-free workplace employers."
"25","25","Sun, 05 Mar 2017 06:33:44 GMT","Sr. Analyst, Parts & Distribution","Tesla Motors","Newark","CA","The Role

Tesla is seeking a highly motivated and skilled Senior Analyst to support our Service Parts & Distribution Warehouses. This individual must have the ability to define and establish KPIâs for existing and new part stock quantity & geographic dispersion that aligns with fast moving / high growth environment. This position is based in our Parts Distribution Center location in Newark, CA and will report to the Director of Global Service Distribution & Logistics.
Responsibilities
Organizationâs cost data analysis: Develop standard tools, frameworks. KPl's working with unit -functional teem including Division and Corporate Supply Chain, Finance and IT.
Measure and report Serviceâs cost performance by GL, Cost Center and/or site. ROI cost model for Corporate and Division initiatives.
Identifies underperforming areas in Service organizationâs supply chain and operations to improve cost efficiency and overall effectiveness.
Cost performance tracking by Division (internal customer), product line or sales channel.
Project Management, through data analysis and demonstrate the value add of proposed solution through the use of industry standard project formats and definitions: Scope, Time, Money/Resources, ROI, Deliverable/Objective, etc.
Through data analysis, maintain and drive for department and organizational goals and objectives.
Requirements
A wide degree of creativity, latitude and toughness is expected.
Strong analytic problem solving skills.
Strong understanding of data mining concepts and techniques.
SQL, Java, VBA or related data mining language.
BS or higher degree (preferred) and/or equivalent experience.
Evidence of exceptional ability.
3+ years in Cost Accounting and/or related financial background.
3+ years in Supply Chain, Operation, warehousing and/or Service experience (preferred)
3+ years working in a fast paced, high volume manufacturing, supply chain and operations environment.
Experience and thorough knowledge of supply chain, warehouse and operations systems and processes.
Experience managing teams of people in project orientated tasks or as direct reports.
Experience in hiring and developing new team members (preferred).
Ability to work with and develop supply chain and operations performance metrics (efficiency, quality, safety, throughput, costs).
Able to work well under pressure while managing competing demands and tight deadlines.
Remain engaged, proactive and positive in tough circumstances, owning assignments and taking full accountability for their success.
Work efficiently and productively in independent and team settings.
Communicate clearly using excellent written and verbal skills.
Strong organization skills with meticulous attention to detail.
Fluent with common MS office programs (Word, Excel, PowerPoint, Project).
Tesla is an equal opportunity employer. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medicalâââ condition, pregnancy, genetic information, gender, sexual orientation, gender identity or âexpression, veteran status, or any other status protected under federal, state, or local law."
"26","26","Wed, 22 Mar 2017 17:13:53 GMT","DATA ANALYST","Bankers Healthcare Group","Davie","FL","DATA ANALYST (LEADS MANAGEMENT)Bankers Healthcare Group is the premier provider of financing solutions for healthcare professionals nationwide. BHG offers funding for commercial purposes with the speed and efficiency that healthcare professionals deserve and expect.Since 1992 BHG has provided working capital to healthcare professionals of all specialties throughout the United States. Our growth and success are attributed to our business model, built and designed to support the needs of our customers. BHG was ranked as the 5th Fastest Growing Private Company by Inc. Magazine in 2005, and was further recognized in 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, and 2016.The Data Analyst will provide strategic and tactical support to the organization by analyzing and interpreting business data to provide innovative solutions. This person will be responsible for performing data analysis on business needs and developing rules and methodologies for effective data management. This person should have extensive knowledge of industry standard data analytic tools.ResponsibilitiesAssuring the integrity of project data, including data extraction, storage, manipulation, processing and analyDiscussing business intelligence needs or information with internal staffAnalyzing data with standard statistical methods, interpreting the results, and providing a written summary of data analysisProduce solutions that will impact the Companyâs bottom line and present these solutions to top executives and ownership.This person must be able to analyze data sets and come up with strategic solutions within different aspects of the company, including but not limited to: marketing, sales, employee performance, client profiling, credit, and riS* *kills4+ years of experience as a Data AnalystExpert proficiency in Microsoft ExcelProficiency in SQL is a plusKnowledge of statistical methodologies and techniquesBusiness awareness and numerical abilityMust possess solid communication skillsWillingness to adhere to all principles of confidentialityMust value operating in a collaborative and cooperative environmentAbility to show initiative, good judgment, and resourcefulneEducationBachelorâs Degree in Business Administration, Statistics, Marketing, or any related field from an Accredited InstitutionJob Type: Full-timeJob Location:Davie, FLRequired education:Bachelor's"
"27","27","Thu, 16 Mar 2017 03:57:05 GMT","Associate Solutions Specialist - Data & Analytics","Sirius Computer Solutions","Austin","TX","Youâve worked hard to get to where you are and want to work alongside people whoâve done the same. Youâre looking to be challenged and to grow professionally, and you want to be valued and recognized for your contributions. Sirius agrees.

As a nationally recognized IT solutions provider with an over 35-year history of success, Sirius is known for cultivating the best talent, providing a positive work environment, and offering a compensation and benefits package designed to help our employees
thrive both personally and professionally. We deliver best-of-breed IT solutions from the world's top technology innovators, including Cisco, Citrix, CommVault, Dell, EMC, Hitachi, HP, IBM, NetApp, Nutanix, VMware, and many more. If you want to work with the
Brightest Minds in the Business, contact us today.

Sirius is looking for Associate Solutions Specialists to join our Data & Analytics Solutions team. Weâre looking for people who are passionate about developing analytics solutions and who want to work in a collaborative fast-paced and ever-growing team environment.
These are full-time, benefited roles with us that can require an average of 50% overnight travel.

Part of the Associate role may include two paid training sessions, each estimated to be about a month long, which may require temporary relocation to one of our regional offices, including Austin, TX and/or Redmond, WA. After training, Associates will provide
support for our Managed Services projects initially, before having the option to move into a consulting role.

After training, unless otherwise approved by management, Associates will need to be based out of one of the following Sirius office locations: Kansas City, MO; Austin, TX; San Antonio, TX, Omaha, NE; Salt Lake City, UT; Denver, CO, Raleigh, NC, or Chicago,
IL.
Position Summary:
The primary purpose of this position is to provide software development, application administration, or database administration solutions and support to our clients. This position will also participate in analysis, design, programming, testing and documentation.
Primary Duties & Responsibilities:Through training and mentoring, develop a base level of technical and consulting skills enabling performance of quality service for clients
Prototype, design, develop, test and document applications on a multitude of platforms, technologies and languages, as part of a team
Work with development team to support and maintain existing production code and develop and deliver new enhancements
Participate in all phases of the system development lifecycle, including requirements analysis, design, development, testing, and deployment
Tests applications for functionality, data integrity, performance, and usability
Learn, develop and execute best practices for design and development
Document completed technical work for clients
Maintain technical specifications throughout a project
Proactively learn new and emerging technologies relevant to the team

Requirements
Basic Qualifications:Bachelorâs degree in computer science, management information science, or a related field
At least one (1) year of academic and/or hands-on experience in the Information Technology field, to include experience with at least one of the following:

o Hadoop development and/or administration (Hortonworks, Cloudera, BigInsights, etc.)

o Cloud development and/or administration (AWS, Azure, etc.)

o Data visualization development (Tableau, QlikView, etc)

o SQL, Python and Linux development and/or administration
Other Position Requirements:Demonstrated foundational understanding of Business Intelligence, Data Warehousing, and Analytics
Demonstrated SDLC knowledge
Demonstrated ability to maintain design documents and specification to be presented to the customer/client
Demonstrated ability to troubleshoot and identify potential problems and make appropriate changes
Demonstrated communication and presentation skills
Demonstrated analytical skills
Preferred Qualifications:Consulting experience
Experience with Python, Shell Scripting, Hadoop, Amazon Web Services (AWS), Netezza/IBM Pure Data, and/or the Microsoft BI Stack (SSIS, SSRS, SSAS)
Essential Functions:
The position exists to provide consulting solutions to customers and as such requires the ability to travel to and from customer sites and interact with customers on an ongoing and regular basis.

The above primary duties, responsibilities, and position requirements are not all inclusive.

Sirius is an equal opportunity employer that values diversity. As a government contractor, Sirius takes affirmative action to employ and advance in employment qualified women, minorities, individuals with disabilities, and protected veterans; maintains a drug-free
workplace; and participates in E-Verify.

Individuals who receive job offers will be required to complete pre-employment screening that includes a background check verifying name, residences, education, work experience, and criminal convictions consistent with the Fair Credit Reporting Act; and a drug
test for controlled substances consistent with the Drug-Free Workplace Act and the Americans with Disabilities Act.

Sirius will not sponsor work eligibility."
"28","28","Thu, 16 Mar 2017 03:56:53 GMT","Associate Solutions Specialist - Data & Analytics","Sirius Computer Solutions","","","Youâve worked hard to get to where you are and want to work alongside people whoâve done the same. Youâre looking to be challenged and to grow professionally, and you want to be valued and recognized for your contributions. Sirius agrees.

As a nationally recognized IT solutions provider with an over 35-year history of success, Sirius is known for cultivating the best talent, providing a positive work environment, and offering a compensation and benefits package designed to help our employees
thrive both personally and professionally. We deliver best-of-breed IT solutions from the world's top technology innovators, including Cisco, Citrix, CommVault, Dell, EMC, Hitachi, HP, IBM, NetApp, Nutanix, VMware, and many more. If you want to work with the
Brightest Minds in the Business, contact us today.

Sirius is looking for Associate Solutions Specialists to join our Data & Analytics Solutions team. Weâre looking for people who are passionate about developing analytics solutions and who want to work in a collaborative fast-paced and ever-growing team environment.
These are full-time, benefited roles with us that can require an average of 50% overnight travel.

Part of the Associate role may include two paid training sessions, each estimated to be about a month long, which may require temporary relocation to one of our regional offices, including Austin, TX and/or Redmond, WA. After training, Associates will provide
support for our Managed Services projects initially, before having the option to move into a consulting role.

After training, unless otherwise approved by management, Associates will need to be based out of one of the following Sirius office locations: Kansas City, MO; Austin, TX; San Antonio, TX, Omaha, NE; Salt Lake City, UT; Denver, CO, Raleigh, NC, or Chicago,
IL.
Position Summary:
The primary purpose of this position is to provide software development, application administration, or database administration solutions and support to our clients. This position will also participate in analysis, design, programming, testing and documentation.
Primary Duties & Responsibilities:Through training and mentoring, develop a base level of technical and consulting skills enabling performance of quality service for clients
Prototype, design, develop, test and document applications on a multitude of platforms, technologies and languages, as part of a team
Work with development team to support and maintain existing production code and develop and deliver new enhancements
Participate in all phases of the system development lifecycle, including requirements analysis, design, development, testing, and deployment
Tests applications for functionality, data integrity, performance, and usability
Learn, develop and execute best practices for design and development
Document completed technical work for clients
Maintain technical specifications throughout a project
Proactively learn new and emerging technologies relevant to the team

Requirements
Basic Qualifications:Bachelorâs degree in computer science, management information science, or a related field
At least one (1) year of academic and/or hands-on experience in the Information Technology field, to include experience with at least one of the following:

o Hadoop development and/or administration (Hortonworks, Cloudera, BigInsights, etc.)

o Cloud development and/or administration (AWS, Azure, etc.)

o Data visualization development (Tableau, QlikView, etc)

o SQL, Python and Linux development and/or administration
Other Position Requirements:Demonstrated foundational understanding of Business Intelligence, Data Warehousing, and Analytics
Demonstrated SDLC knowledge
Demonstrated ability to maintain design documents and specification to be presented to the customer/client
Demonstrated ability to troubleshoot and identify potential problems and make appropriate changes
Demonstrated communication and presentation skills
Demonstrated analytical skills
Preferred Qualifications:Consulting experience
Experience with Python, Shell Scripting, Hadoop, Amazon Web Services (AWS), Netezza/IBM Pure Data, and/or the Microsoft BI Stack (SSIS, SSRS, SSAS)
Essential Functions:
The position exists to provide consulting solutions to customers and as such requires the ability to travel to and from customer sites and interact with customers on an ongoing and regular basis.

The above primary duties, responsibilities, and position requirements are not all inclusive.

Sirius is an equal opportunity employer that values diversity. As a government contractor, Sirius takes affirmative action to employ and advance in employment qualified women, minorities, individuals with disabilities, and protected veterans; maintains a drug-free
workplace; and participates in E-Verify.

Individuals who receive job offers will be required to complete pre-employment screening that includes a background check verifying name, residences, education, work experience, and criminal convictions consistent with the Fair Credit Reporting Act; and a drug
test for controlled substances consistent with the Drug-Free Workplace Act and the Americans with Disabilities Act.

Sirius will not sponsor work eligibility."
